Time (s),Channel 1 (V),Channel 2 (V)
-0.00121,1.955284175,2.360632344
-0.00120395,1.95789177,2.362821176
-0.0011979,1.959717086,2.363802376
-0.00119185,1.96202667,2.365462869
-0.0011858,1.96396374,2.366896931
-0.00117975,1.966012564,2.368330993
-0.0011737,1.967726126,2.369349932
-0.00116765,1.969029923,2.370180179
-0.0011616,1.972680556,2.373048303
-0.00115555,1.975213648,2.375048442
-0.0011495,1.976331188,2.375878689
-0.00114345,1.978752526,2.377803351
-0.0011374,1.981211115,2.379803491
-0.00113135,1.983148185,2.381237553
-0.0011253,1.985532272,2.383313169
-0.00111925,1.98769285,2.385313308
-0.0011132,1.990486701,2.387841786
-0.00110715,1.99264728,2.389351325
-0.0011011,1.994211837,2.390709911
-0.00109505,1.996595923,2.393011958
-0.001089,1.999203518,2.395125313
-0.00108295,2.001960117,2.397729267
-0.0010769,2.004269701,2.399918099
-0.00107085,2.006504782,2.4013899
-0.0010648,2.008479104,2.402786223
-0.00105875,2.011719971,2.406409117
-0.0010527,2.014737331,2.409352719
-0.00104665,2.016227385,2.410333919
-0.0010406,2.018499717,2.412598228
-0.00103455,2.021219066,2.415239921
-0.0010285,2.024012917,2.417843876
-0.00102245,2.026471506,2.420372354
-0.0010164,2.028110566,2.421995109
-0.00101035,2.031016171,2.424825494
-0.0010043,2.033549263,2.42716528
-0.00099825,2.035560836,2.429240896
-0.0009922,2.038801703,2.432335451
-0.00098615,2.040887779,2.434750714
-0.0009801,2.04312286,2.437241454
-0.00097405,2.045730455,2.439996362
-0.000968,2.047704776,2.442373887
-0.00096195,2.050051611,2.444902365
-0.0009559,2.052249441,2.447166673
-0.00094985,2.054559025,2.449317766
-0.0009438,2.056943111,2.451883983
-0.00093775,2.0594017,2.454865323
-0.0009317,2.061525027,2.457242847
-0.00092565,2.063573852,2.459431678
-0.0009196,2.066330452,2.462752664
-0.00091355,2.068789041,2.465281142
-0.0009075,2.071359384,2.467998313
-0.00090145,2.072923941,2.470262622
-0.0008954,2.07512177,2.473168484
-0.00088935,2.078064627,2.476678163
-0.0008833,2.079331173,2.478451871
-0.00087725,2.081156489,2.480980349
-0.0008712,2.084248351,2.484791935
-0.00086515,2.086446181,2.48739589
-0.0008591,2.088606759,2.48988663
-0.00085305,2.090804589,2.492641539
-0.000847,2.092518151,2.495019063
-0.00084095,2.094753232,2.498151357
-0.0008349,2.097360827,2.501623296
-0.00082885,2.099186143,2.504340467
-0.0008228,2.1007507,2.506151914
-0.00081675,2.102352508,2.508189792
-0.0008107,2.104997354,2.512076855
-0.00080465,2.105928637,2.514643071
-0.0007986,2.106934424,2.516831903
-0.00079255,2.110547805,2.520303843
-0.0007865,2.112782886,2.523171967
-0.00078045,2.114906213,2.526379738
-0.0007744,2.116694278,2.528719523
-0.00076835,2.117811818,2.53079514
-0.0007623,2.119637134,2.533889695
-0.00075625,2.121499702,2.536757819
-0.0007502,2.123772034,2.540418452
-0.00074415,2.125448345,2.542871453
-0.0007381,2.126640388,2.544682899
-0.00073205,2.128726464,2.548154839
-0.000726,2.129918507,2.550721056
-0.00071995,2.130924294,2.552796672
-0.0007139,2.132377096,2.554947765
-0.00070785,2.134537675,2.558117798
-0.0007018,2.136288488,2.561250091
-0.00069575,2.137592285,2.563778569
-0.0006897,2.139566607,2.566797647
-0.00068365,2.141168415,2.569590295
-0.0006776,2.141838939,2.571326265
-0.00067155,2.143254491,2.573741527
-0.0006655,2.144707293,2.576420959
-0.00065945,2.145489572,2.578232406
-0.0006534,2.147426642,2.5813647
-0.00064735,2.149065701,2.584232824
-0.0006413,2.149698974,2.585893317
-0.00063525,2.15040675,2.587780241
-0.0006292,2.151934055,2.59053515
-0.00062315,2.154057382,2.593554228
-0.0006171,2.154914164,2.59525246
-0.00061105,2.155286677,2.596799737
-0.000605,2.15647872,2.599365954
-0.00059895,2.15811778,2.602234078
-0.0005929,2.158900058,2.603743617
-0.00058685,2.15979409,2.605743756
-0.0005808,2.160129353,2.607517465
-0.00057475,2.161656658,2.610045943
-0.0005687,2.163183963,2.612498944
-0.00056265,2.163295717,2.613102759
-0.0005566,2.164115247,2.61506516
-0.00055055,2.165121034,2.617631377
-0.0005445,2.166573836,2.620008901
-0.00053845,2.167989388,2.621933563
-0.0005324,2.16806389,2.622839287
-0.00052635,2.168436404,2.623933703
-0.0005203,2.170112715,2.626273488
-0.00051425,2.170596982,2.627783027
-0.0005082,2.170783239,2.628839705
-0.00050215,2.171863528,2.630613413
-0.0004961,2.172347796,2.631783306
-0.00049005,2.173316331,2.633443799
-0.000484,2.173912352,2.634726907
-0.00047795,2.174024106,2.635519415
-0.0004719,2.175141647,2.637179908
-0.00046585,2.175625915,2.638312063
-0.0004598,2.175663166,2.639066832
-0.00045375,2.177004214,2.64061411
-0.0004477,2.177600236,2.641368879
-0.00044165,2.177562985,2.641519833
-0.0004356,2.177749242,2.642010433
-0.00042955,2.178494269,2.643444496
-0.0004235,2.179574558,2.644765342
-0.00041745,2.179611809,2.644614388
-0.0004114,2.179723563,2.645180465
-0.00040535,2.180543093,2.646425835
-0.0003993,2.181101863,2.64680322
-0.00039325,2.180952858,2.646501312
-0.0003872,2.181362623,2.647029651
-0.00038115,2.18240566,2.648463713
-0.0003751,2.182778174,2.64853919
-0.00036905,2.182778174,2.648161805
-0.000363,2.182927179,2.648161805
-0.00035695,2.184007468,2.648916575
-0.0003509,2.184528987,2.648954313
-0.00034485,2.184230977,2.647973113
-0.0003388,2.185385768,2.648765621
-0.00033275,2.185832785,2.649218483
-0.0003267,2.185907287,2.649143006
-0.00032065,2.186913074,2.64952039
-0.0003146,2.186726817,2.648463713
-0.00030855,2.185646528,2.646690005
-0.0003025,2.186652314,2.647029651
-0.00029645,2.188291374,2.648010851
-0.0002904,2.187881609,2.646916435
-0.00028435,2.187732603,2.645935235
-0.0002783,2.188775641,2.645972974
-0.00027225,2.18929716,2.645633327
-0.0002662,2.189483417,2.644840819
-0.00026015,2.189334412,2.643180326
-0.0002541,2.18929716,2.641897218
-0.00024805,2.189781428,2.641557572
-0.000242,2.190600958,2.641368879
-0.00023595,2.191159728,2.64061411
-0.0002299,2.191010722,2.638915878
-0.00022385,2.191420487,2.63812337
-0.0002178,2.192016509,2.637406339
-0.00021175,2.191830252,2.635670369
-0.0002057,2.192128263,2.634462738
-0.00019965,2.192351771,2.632990937
-0.0001936,2.192463525,2.631556875
-0.00018755,2.19343206,2.630877582
-0.0001815,2.194177087,2.629896382
-0.00017545,2.194475098,2.628537797
-0.0001694,2.195294628,2.627481119
-0.00016335,2.195406382,2.625896103
-0.0001573,2.195443633,2.62423561
-0.00015125,2.19618866,2.622990241
-0.0001452,2.196337666,2.620914624
-0.00013915,2.197268949,2.619971162
-0.0001331,2.198200233,2.619216393
-0.00012705,2.197753217,2.616763392
-0.000121,2.197790468,2.614423606
-0.00011495,2.199131517,2.613706575
-0.0001089,2.199727538,2.612159298
-0.00010285,2.200137303,2.610008204
-9.68E-05,2.200584319,2.608234496
-9.08E-05,2.200807828,2.606423049
-8.47E-05,2.201999871,2.605441849
-7.87E-05,2.202409636,2.603630402
-7.26E-05,2.20252139,2.601403831
-6.66E-05,2.203191914,2.599516908
-6.05E-05,2.204309455,2.598271538
-5.45E-05,2.204942728,2.596384614
-4.84E-05,2.204570214,2.593591967
-4.24E-05,2.20501723,2.591705043
-3.63E-05,2.206619038,2.590912535
-3.03E-05,2.207922836,2.589893596
-2.42E-05,2.208220846,2.587327379
-1.81E-05,2.208891371,2.585251763
-1.21E-05,2.209561895,2.583553531
-6.05E-06,2.210381425,2.582006254
0,2.210940195,2.579892899
6.05E-06,2.211536217,2.577741806
1.21E-05,2.21272826,2.576420959
1.81E-05,2.213734046,2.574571774
2.42E-05,2.214441822,2.572382942
3.02E-05,2.215522111,2.57045828
3.63E-05,2.216639652,2.568646833
4.24E-05,2.216937662,2.566420263
4.84E-05,2.218204208,2.565137154
5.44E-05,2.219321749,2.563589877
6.05E-05,2.220215781,2.56128783
6.66E-05,2.221631333,2.559627337
7.26E-05,2.221705835,2.556985643
7.86E-05,2.222227354,2.554796811
8.47E-05,2.224238927,2.553966565
9.07E-05,2.225207462,2.551739995
9.68E-05,2.225766233,2.549513425
0.00010285,2.227293538,2.548720917
0.0001089,2.228038565,2.546456608
0.00011495,2.229230608,2.54441873
0.000121,2.230571657,2.542871453
0.00012705,2.230981422,2.540720359
0.0001331,2.233216503,2.540305236
0.00013915,2.234781059,2.538380574
0.0001452,2.235600589,2.535135065
0.00015125,2.23783567,2.534078387
0.0001573,2.239362976,2.532946233
0.00016335,2.239809992,2.530191324
0.0001694,2.240778527,2.528228923
0.00017545,2.243050859,2.527851538
0.0001815,2.244540913,2.526304261
0.00018755,2.246068219,2.52509663
0.0001936,2.247111257,2.523624829
0.00019965,2.247781781,2.521134089
0.0002057,2.2483033,2.518530134
0.00021175,2.250128616,2.517699888
0.0002178,2.252922467,2.517473457
0.00022385,2.253704746,2.515209148
0.0002299,2.254561527,2.513322225
0.00023595,2.256759356,2.512718409
0.000242,2.258472918,2.511510778
0.00024805,2.259515956,2.509888023
0.0002541,2.260335486,2.507812407
0.00026015,2.261639283,2.506265129
0.0002662,2.263315594,2.505057498
0.00027225,2.265289916,2.504340467
0.0002783,2.267040729,2.503547959
0.00028435,2.268493532,2.502340328
0.0002904,2.269909083,2.501019481
0.00029645,2.271175629,2.499623157
0.0003025,2.272740186,2.49830231
0.00030855,2.274043983,2.497056941
0.0003146,2.275273278,2.495622879
0.00032065,2.276539824,2.494302032
0.0003267,2.278402391,2.493698216
0.00033275,2.280227707,2.492641539
0.0003388,2.281941269,2.491811292
0.00034485,2.283431323,2.490641399
0.0003509,2.28525664,2.489584722
0.00035695,2.28637418,2.488301614
0.000363,2.287119207,2.486716598
0.00036905,2.288944523,2.485848613
0.0003751,2.290807091,2.48516932
0.00038115,2.292334396,2.484339074
0.0003872,2.29352644,2.483320135
0.00039325,2.294979242,2.482603104
0.0003993,2.296692804,2.48196155
0.00040535,2.298182858,2.481244519
0.0004114,2.299412153,2.480301057
0.00041745,2.300380688,2.479055687
0.0004235,2.302168753,2.478829256
0.00042955,2.304068572,2.478716041
0.0004356,2.30540962,2.47773484
0.00044165,2.306303653,2.476225301
0.0004477,2.308128969,2.475885655
0.00045375,2.310177793,2.476036609
0.0004598,2.310475804,2.474376116
0.00046585,2.31174235,2.473243961
0.0004719,2.313753923,2.473394915
0.00047795,2.31561649,2.473734561
0.000484,2.31699479,2.473319438
0.00049005,2.317702566,2.471960853
0.0004961,2.318484844,2.470904176
0.00050215,2.319974899,2.470677745
0.0005082,2.321204193,2.470413575
0.00051425,2.322321734,2.469696544
0.0005203,2.32414705,2.469960714
0.00052635,2.32496658,2.469470114
0.0005324,2.325339093,2.468149267
0.00053845,2.326568388,2.467847359
0.0005445,2.327089907,2.467017112
0.00055055,2.327872185,2.466451035
0.0005566,2.329362239,2.466601989
0.00056265,2.330442528,2.466488774
0.0005687,2.330628785,2.465658527
